Tile	Base	Mean	sample
1101	1	-0.1650934913471147	jurkat100-1-5
1101	2	-0.03248905741914143	jurkat100-1-5
1101	3	-0.13099952076346	jurkat100-1-5
1101	4	-0.026901993380008093	jurkat100-1-5
1101	5	-0.0017073801289129165	jurkat100-1-5
1101	6	-0.19335315056526525	jurkat100-1-5
1101	7	0.01083436201015786	jurkat100-1-5
1101	8	0.027592096856693615	jurkat100-1-5
1101	9	0.04400165304110715	jurkat100-1-5
1101	10-11	0.049117889915798685	jurkat100-1-5
1101	12-13	0.08133173910493952	jurkat100-1-5
1101	14-15	0.008086738667195448	jurkat100-1-5
1101	16-17	0.07785907017125027	jurkat100-1-5
1101	18-19	-0.047946191742170186	jurkat100-1-5
1101	20-21	0.04208024599491722	jurkat100-1-5
1101	22-23	-0.027021883919438494	jurkat100-1-5
1101	24-25	0.08586135805506956	jurkat100-1-5
1101	26-27	-0.015969966075651598	jurkat100-1-5
1101	28-29	8.662263062078068E-4	jurkat100-1-5
1101	30-31	-0.058813399834392044	jurkat100-1-5
1101	32-33	-0.01358184795348194	jurkat100-1-5
1101	34-35	0.021544966382862185	jurkat100-1-5
1101	36-37	-0.05857596416142741	jurkat100-1-5
1101	38-39	-0.1176221394120276	jurkat100-1-5
1101	40-41	0.05914413207980829	jurkat100-1-5
1101	42-43	0.05196556885438497	jurkat100-1-5
1101	44-45	0.0413267490911835	jurkat100-1-5
1101	46-47	0.11705035548593656	jurkat100-1-5
1101	48-49	0.021248765272041226	jurkat100-1-5
1101	50-51	0.054219256382538106	jurkat100-1-5
1101	52-53	0.03899638267343164	jurkat100-1-5
1101	54-55	0.037399278284098614	jurkat100-1-5
1101	56-57	0.042662065169977836	jurkat100-1-5
1101	58-59	0.026754275514051074	jurkat100-1-5
1101	60-61	0.03731446287937956	jurkat100-1-5
1101	62-63	0.058131046111270734	jurkat100-1-5
1101	64-65	0.01352588051685899	jurkat100-1-5
1101	66-67	-0.004216473398535925	jurkat100-1-5
1101	68-69	-0.0205395876193748	jurkat100-1-5
1101	70-71	-0.06634022337102152	jurkat100-1-5
1101	72-73	-0.050934386807526266	jurkat100-1-5
1101	74-75	0.03817375478410412	jurkat100-1-5
1101	76-77	0.013308673223306755	jurkat100-1-5
1101	78-79	0.01217958960812382	jurkat100-1-5
